"age","WageS","WWa","Survive","surv","B","Q","NageS"
45,0.0403348156363283,0.117611214961682,0.0161634945881659,0.912409235273078,0.00065195157425246,0.00190100823654076,0.0533700755303252
46,0.0425270481362262,0.12183505248406,0.014747721736529,0.912409235273078,0.000627177072189037,0.00179678945179032,0.0486953498010904
47,0.0447758554153887,0.12609313169849,0.0134559575116465,0.912409235273078,0.000602502008017099,0.00169670382264533,0.0444300868733679
48,0.0470805974663192,0.130383775645217,0.0122773399030684,0.985111939603063,0.000578024497933544,0.00160076593144175,0.0405384215872461
49,0.0494406062161489,0.13470534807138,0.0120945541250778,0.985111939603063,0.000597962087857872,0.00162920112318675,0.0399348831182586
50,0.051855187413823,0.139056252588229,0.0119144896727896,0.985111939603063,0.000617828094922565,0.00165678428539929,0.0393403301664494
51,0.0543236224421375,0.14343493184477,0.0117371060309425,0.985111939603063,0.000637602116588254,0.00168351100360307,0.0387546289548958
52,0.0568451700571494,0.147839866717499,0.0115623632874685,0.985111939603063,0.00065726450733869,0.00170937824735866,0.0381776476983544
53,0.0594190680574059,0.152269575515955,0.0113902221245134,0.985111939603063,0.00067679638360543,0.00173438428793209,0.0376092565736083
54,0.0620445348853631,0.156722613203753,0.0112206438095891,0.985111939603063,0.000696179626280284,0.00175852861966731,0.0370493276902565
55,0.0647207711632907,0.161197570634844,0.0110535901868594,0.985111939603063,0.000715396881016523,0.00178181188491488,0.0364977350619381
56,0.0674469611658862,0.165693073804676,0.0108890236685544,0.985111939603063,0.000734431556507407,0.00180423580237466,0.0359543545779845
57,0.0702222742317557,0.170207783116005,0.0107269072265133,0.985111939603063,0.000753267820918821,0.00182580309871588,0.0354190639754946
58,0.0730458661158486,0.17474039265905,0.0105672043838527,0.985111939603063,0.000771890596641709,0.00184651744334284,0.0348917428118244
59,0.0759168802848694,0.179289629505745,0.0104098792067591,0.985111939603063,0.00079028555351948,0.00186638338617939,0.0343722724374876
60,0.0788344491576262,0.183854253017804,0.010254896296404,0.985111939603063,0.000808439100695592,0.00188540629835041,0.0338605359694583
61,0.0817976952922149,0.188433054168338,0.0101022207809788,0.985111939603063,0.000826338377217187,0.00190359231564269,0.0333564182648723
62,0.0848057325218764,0.193024854876773,0.00995181830784842,0.985111939603063,0.000843971241521705,0.00192094828463246,0.0328598058951194
63,0.087857667041309,0.197628507356818,0.00980365503582183,0.985111939603063,0.000861326259925086,0.00193748171137062,0.0323705871203212
64,0.0909525984451601,0.202242893477219,0.00965769762753777,0.985111939603063,0.000878392694222218,0.00195320071252131,0.0318886518641896
65,0.094089620720367,0.206866924135073,0.00951391324196363,0.985111939603063,0.000895160488502835,0.00196811396885296,0.0314138916892586
66,0.0972678231939662,0.211499538641462,0.00937226952700605,0.985111939603063,0.000911620255279022,0.00198223068098521,0.0309461997724861
67,0.100486291437935,0.216139704119153,0.00923273461223161,0.985111939603063,0.00092776326101382,0.00199556052729841,0.0304854708812176
68,0.103744108132587,0.220786414912165,0.00909527710169581,0.985111939603063,0.000943581411134175,0.00200811362391612,0.030031601349509
69,0.10704035388998,0.225438692006946,0.00895986606687888,0.985111939603063,0.000959067234605537,0.00201990048667459,0.0295844890548007
70,0.11037410803877,0.230095582464964,0.00882647103972672,0.985111939603063,0.000974213868139875,0.00203093199499606,0.0291440333949403
71,0.113744449371886,0.234756158866481,0.00869506200579545,0.985111939603063,0.000989015040103609,0.00204121935758642,0.0287101352655461
72,0.117150456858342,0.239419518765295,0.00856560939749806,0.985111939603063,0.001003465054187,0.00205077407988047,0.0282826970377084
73,0.120591210320504,0.244084784154252,0.00843808408745153,0.985111939603063,0.00101755877289196,0.00205960793316104,0.0278616225360227
74,0.124065791078035,0.248751100941314,0.00831245738192312,0.985111939603063,0.00103129160089074,0.00206773292528113,0.0274468170169497
